Name,Category,Location,Place Name,Link,Rating,Reviews Count,Address,Hours,Website
Scotiabank,Bank,Toronto Canada,Scotiabank,https://www.google.com/maps/place/Scotiabank/data=!4m7!3m6!1s0x882b32fa53622447:0xd87ad1e74dc0a8!8m2!3d43.7260615!4d-79.4173729!16s%2Fg%2F11b90hzx4v!19sChIJRyRiU_oyK4gRqMBN59F62AA?authuser=0&hl=en&rclk=1,3.8,20,1640 Avenue Rd,Closed ⋅ Opens 9:30 AM Mon,https://maps.scotiabank.com/locator
Scotiabank,Bank,Toronto Canada,Scotiabank,https://www.google.com/maps/place/Scotiabank/data=!4m7!3m6!1s0x882b310375e4cbc7:0x6fcbb679e5479815!8m2!3d43.7196734!4d-79.5111509!16s%2Fg%2F1v_nd3x2!19sChIJx8vkdQMxK4gRFZhH5Xm2y28?authuser=0&hl=en&rclk=1,1.8,92,1603 Wilson Ave,Closed ⋅ Opens 9:30 AM Mon,https://maps.scotiabank.com/locator
Scotiabank,Bank,Toronto Canada,The Bank of Nova Scotia,https://www.google.com/maps/place/The+Bank+of+Nova+Scotia/data=!4m7!3m6!1s0x89d4cb75bc1c31fb:0x23cec78740d1e465!8m2!3d43.6447341!4d-79.3718512!16s%2Fg%2F11vh_c58xw!19sChIJ-zEcvHXL1IkRZeTRQIfHziM?authuser=0&hl=en&rclk=1,4.8,9,35 Cooper St,Closed ⋅ Opens 9:30 AM Mon,http://www.scotiabank.com/
Scotiabank,Bank,Toronto Canada,Scotiabank,https://www.google.com/maps/place/Scotiabank/data=!4m7!3m6!1s0x882b32ea5e97066b:0xb5f5951156ff1fc5!8m2!3d43.7340278!4d-79.4050585!16s%2Fg%2F1tg878pb!19sChIJawaXXuoyK4gRxR__VhGV9bU?authuser=0&hl=en&rclk=1,3.7,17,3446 Yonge St,Closed ⋅ Opens 9:30 AM Mon,https://maps.scotiabank.com/locator
Scotiabank,ATM,Toronto Canada,Scotiabank ATM,https://www.google.com/maps/place/Scotiabank+ATM/data=!4m7!3m6!1s0x882b35086ce0c8ad:0xa8a84c57908de03d!8m2!3d43.6510139!4d-79.3814473!16s%2Fg%2F11k3w37t19!19sChIJrcjgbAg1K4gRPeCNkFdMqKg?authuser=0&hl=en&rclk=1,3.0,2,372 Bay St.,N/A,N/A
Scotiabank,Bank,Toronto Canada,Scotiabank,https://www.google.com/maps/place/Scotiabank/data=!4m7!3m6!1s0x89d4ce53a98e6247:0x47e840e2fc13403f!8m2!3d43.7098251!4d-79.2480674!16s%2Fg%2F1tffqb1k!19sChIJR2KOqVPO1IkRP0AT_OJA6Ec?authuser=0&hl=en&rclk=1,2.5,63,2479 Kingston Rd,Closed ⋅ Opens 9:30 AM Mon,https://maps.scotiabank.com/locator
Scotiabank,Bank,Toronto Canada,Scotiabank,https://www.google.com/maps/place/Scotiabank/data=!4m7!3m6!1s0x89d4cd6c2ef9dcc7:0xe14769e216bef608!8m2!3d43.7357745!4d-79.3482731!16s%2Fg%2F1tgwnp2h!19sChIJx9z5LmzN1IkRCPa-FuJpR-E?authuser=0&hl=en&rclk=1,2.5,75,885 Lawrence Ave E,Closed ⋅ Opens 9:30 AM Mon,https://maps.scotiabank.com/locator
Scotiabank,Bank,Toronto Canada,Scotiabank,https://www.google.com/maps/place/Scotiabank/data=!4m7!3m6!1s0x40575316dcff1f3f:0xcc19ba6b7d897112!8m2!3d43.6484046!4d-79.5073624!16s%2Fg%2F1tf3208m!19sChIJPx__3BZTV0AREnGJfWu6Gcw?authuser=0&hl=en&rclk=1,2.4,37,2930 Bloor St W,Closed ⋅ Opens 9:30 AM Mon,https://maps.scotiabank.com/locator
Scotiabank,Bank,Toronto Canada,Scotiabank,https://www.google.com/maps/place/Scotiabank/data=!4m7!3m6!1s0x89d4cfc44bb57be5:0x2b5baef7f9203132!8m2!3d43.7260936!4d-79.2305998!16s%2Fg%2F1tf3cj9w!19sChIJ5Xu1S8TP1IkRMjEg-feuWys?authuser=0&hl=en&rclk=1,3.0,41,3041 Kingston Rd,Closed ⋅ Opens 9:30 AM Mon,https://maps.scotiabank.com/locator
Scotiabank,Bank,Toronto Canada,The Bank of Nova Scotia,https://www.google.com/maps/place/The+Bank+of+Nova+Scotia/data=!4m7!3m6!1s0x882b3513e54fcde3:0x8727f16eab73e67c!8m2!3d43.642601!4d-79.395778!16s%2Fg%2F11ksn_pk63!19sChIJ481P5RM1K4gRfOZzq27xJ4c?authuser=0&hl=en&rclk=1,2.0,12,436 Front St W Unit 38,Closed ⋅ Opens 9:30 AM Mon,http://www.scotiabank.com/
